# BLASTN 2.13.0+
# Query: dnaA,dnaN
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
dnaA,dnaN	NZ_CP048852.1	97.521	121	2	1	1	120	2634	2754	3.64e-54	206
# BLASTN 2.13.0+
# Query: guaB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
guaB	NZ_CP048852.1	99.180	122	1	0	2	123	17028	17149	1.34e-58	220
# BLASTN 2.13.0+
# Query: yaaH
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yaaH	NZ_CP048852.1	97.581	124	2	1	1	124	23466	23588	8.22e-56	211
# BLASTN 2.13.0+
# Query: metS
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
metS	NZ_CP048852.1	95.420	131	6	0	1	131	47272	47402	3.16e-55	209
# BLASTN 2.13.0+
# Query: yabG
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yabG	NZ_CP048852.1	93.388	121	8	0	3	123	52397	52517	2.28e-46	180
# BLASTN 2.13.0+
# Query: veg
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
veg	NZ_CP048852.1	93.496	123	7	1	1	123	52859	52980	6.33e-47	182
# BLASTN 2.13.0+
# Query: sspF
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
sspF	NZ_CP048852.1	92.742	124	7	2	1	123	53210	53332	8.18e-46	178
# BLASTN 2.13.0+
# Query: spoVG
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
spoVG	NZ_CP048852.1	94.406	143	7	1	1	142	56012	56154	5.71e-58	219
# BLASTN 2.13.0+
# Query: pabB,pabA,pabC,sul,folB,folK,yazB,yacF,lysS
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
pabB,pabA,pabC,sul,folB,folK,yazB,yacF,lysS	NZ_CP048852.1	86.567	134	18	0	1	134	90064	90197	7.10e-37	148
# BLASTN 2.13.0+
# Query: adaA,adaB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
adaA,adaB	NZ_CP048852.1	90.244	123	8	4	1	121	201394	201514	1.45e-39	158
# BLASTN 2.13.0+
# Query: ybcL
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybcL	NZ_CP048852.1	89.583	48	5	0	30	77	208962	209009	8.76e-11	62.1
# BLASTN 2.13.0+
# Query: ybdO
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybdO	NZ_CP048852.1	89.474	76	8	0	1	76	220325	220400	2.40e-21	97.1
# BLASTN 2.13.0+
# Query: csgA,ybxH
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
csgA,ybxH	NZ_CP048852.1	90.110	91	5	3	1	88	222574	222663	6.38e-27	115
# BLASTN 2.13.0+
# Query: glpT,glpQ
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
glpT,glpQ	NZ_CP048852.1	82.143	112	9	7	12	122	226268	226369	5.05e-18	86.1
# BLASTN 2.13.0+
# Query: ybgE
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybgE	NZ_CP048852.1	88.889	117	12	1	2	118	251781	251896	2.96e-35	143
# BLASTN 2.13.0+
# Query: ycbC,ycbD,ycbE,ycbF,ycbG,ycbH,ycbJ
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ycbC,ycbD,ycbE,ycbF,ycbG,ycbH,ycbJ	NZ_CP048852.1	96.748	123	3	1	1	123	260890	261011	1.39e-53	204
# BLASTN 2.13.0+
# Query: cwlJ
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
cwlJ	NZ_CP048852.1	92.500	80	6	0	1	80	266927	267006	6.38e-27	115
# BLASTN 2.13.0+
# Query: natA,natB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
natA,natB	NZ_CP048852.1	97.500	120	2	1	1	119	282337	282456	1.30e-53	204
# BLASTN 2.13.0+
# Query: mdr
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
mdr	NZ_CP048852.1	90.400	125	8	3	1	125	316141	316261	8.40e-41	161
# BLASTN 2.13.0+
# Query: nasB,nasC,nasD,nasE,nasF
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
nasB,nasC,nasD,nasE,nasF	NZ_CP048852.1	87.500	120	13	2	1	120	338219	338336	1.38e-33	137
# BLASTN 2.13.0+
# Query: srfAA,srfAB,comS,srfAC,srfAD
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
srfAA,srfAB,comS,srfAC,srfAD	NZ_CP048852.1	89.516	124	11	2	1	122	386025	386148	3.83e-39	156
# BLASTN 2.13.0+
# Query: ycxC,ycxB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yclE
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yclE	NZ_CP048852.1	78.740	127	18	6	6	128	396487	396608	3.22e-15	76.8
# BLASTN 2.13.0+
# Query: ycnC,ycnB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
