# BLASTN 2.13.0+
# Query: dnaA,dnaN
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S	NZ_CP064875.1	100.000	16	0	0	21	36	126043	126058	0.065	30.7
# BLASTN 2.13.0+
# Query: yaaD,yaaE
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yaaD,yaaE	NZ_CP064875.1	85.000	40	5	1	9	47	4560548	4560509	1.69e-04	39.9
# BLASTN 2.13.0+
# Query: metS
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
metS	NZ_CP064875.1	91.667	24	0	2	2	23	43231	43254	0.028	32.5
# BLASTN 2.13.0+
# Query: veg
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
veg	NZ_CP064875.1	90.909	22	2	0	19	40	1818691	1818670	0.077	30.7
# BLASTN 2.13.0+
# Query: spoVG
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yabM,yabN,yabO,yabP,yabQ,divIC,yabR
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yabM,yabN,yabO,yabP,yabQ,divIC,yabR	NZ_CP064875.1	100.000	17	0	0	27	43	370700	370684	0.022	32.5
# BLASTN 2.13.0+
# Query: ybaK,cwlD
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: adaA,adaB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
adaA,adaB	NZ_CP064875.1	80.000	80	16	0	1	80	2969980	2969901	2.36e-10	60.2
# BLASTN 2.13.0+
# Query: ybdO
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: glpT,glpQ
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ybgE
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybgE	NZ_CP064875.1	81.579	38	6	1	2	38	4798963	4798926	0.074	30.7
# BLASTN 2.13.0+
# Query: cwlJ
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
cwlJ	NZ_CP064875.1	89.286	28	2	1	8	35	3819605	3819579	0.005	34.4
# BLASTN 2.13.0+
# Query: natA,natB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
natA,natB	NZ_CP064875.1	100.000	18	0	0	18	35	2628949	2628932	0.005	34.4
# BLASTN 2.13.0+
# Query: ldh,lctP
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: mdr
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: nasB,nasC,nasD,nasE,nasF
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yckE
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycxA
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycxC,ycxB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yclE
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycnC,ycnB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycnL
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ycnL	NZ_CP064875.1	100.000	16	0	0	24	39	2500945	2500930	0.068	30.7
# BLASTN 2.13.0+
# Query: ycsD
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: mtlR
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: gsiB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: phoB,ydhF
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
phoB,ydhF	NZ_CP064875.1	100.000	17	0	0	9	25	781760	781776	0.024	32.5
# BLASTN 2.13.0+
# Query: ydiO,ydiP
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ydjK
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ydjK	NZ_CP064875.1	94.737	19	1	0	14	32	3824787	3824805	0.062	30.7
# BLASTN 2.13.0+
# Query: yfnI
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfnB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfmT,yfmS
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfmM
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfmG
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfmG	NZ_CP064875.1	83.333	36	5	1	16	51	1523965	1523931	0.028	32.5
# BLASTN 2.13.0+
# Query: citM,yflN
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: treP,treA,treR
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
treP,treA,treR	NZ_CP064875.1	100.000	16	0	0	26	41	357720	357705	0.074	30.7
# BLASTN 2.13.0+
# Query: yfkJ,yfkI,yfkH
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfkF
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfjS
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfjR
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfjP,yfjO
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfjP,yfjO	NZ_CP064875.1	95.455	22	1	0	11	32	4788493	4788472	0.003	36.2
# BLASTN 2.13.0+
# Query: acoA,acoB,acoC,acoL
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
acoA,acoB,acoC,acoL	NZ_CP064875.1	88.462	26	1	2	21	44	370706	370731	0.086	30.7
# BLASTN 2.13.0+
# Query: malA,yfiA,malP
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfiD,yfiE
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: lipB
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfiW,yfiX
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfiW,yfiX	NZ_CP064875.1	100.000	16	0	0	28	43	822795	822810	0.080	30.7
# BLASTN 2.13.0+
# Query: yfhF,yfhE,yfhD
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfhI
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfhP
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfhS
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yhdG
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yhdN,yhdO
# Database: B._toyonensis_NZ_CP064875.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yhdN,yhdO	NZ_CP064875.1	85.714	35	1	4	2	32	2236833	2236799	0.005	34.4
# BLASTN 2.13.0+
# Query: pbpF
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: med,comZ
# Database: B._toyonensis_NZ_CP064875.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yjbC,yjbD
