# BLASTN 2.13.0+
# Query: 1004944_110_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1004944_110_-	NZ_CP072120.1	93.069	101	3	3	1	100	2747845	2747942	6.52e-36	145
# BLASTN 2.13.0+
# Query: 1008561_42_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1035272_45_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1040061_37_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1055135_36_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1055135_36_-	NZ_CP072120.1	91.176	34	3	0	1	34	2795604	2795637	1.89e-06	47.3
# BLASTN 2.13.0+
# Query: 1070325_39_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1070325_39_+	NZ_CP072120.1	96.875	32	0	1	69	100	2812210	2812180	4.06e-08	52.8
# BLASTN 2.13.0+
# Query: 1074602_44_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 2905532_39_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
2905532_39_+	NZ_CP072120.1	90.588	85	3	3	4	83	575967	575883	8.55e-25	108
# BLASTN 2.13.0+
# Query: 1083202_27_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1098079_41_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1107559_43_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1107559_43_-	NZ_CP072120.1	100.000	21	0	0	66	86	2065927	2065907	3.16e-04	39.9
# BLASTN 2.13.0+
# Query: 1124994_29_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1124994_29_-	NZ_CP072120.1	86.486	37	3	2	46	81	2866492	2866527	3.16e-04	39.9
# BLASTN 2.13.0+
# Query: 1153665_44_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1165429_20_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1182442_47_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1204688_43_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1204688_43_+	NZ_CP072120.1	92.105	38	1	2	48	83	114842	114879	4.06e-08	52.8
# BLASTN 2.13.0+
# Query: 1372590_37_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1372590_37_-	NZ_CP072120.1	90.909	33	2	1	52	83	114873	114841	2.45e-05	43.6
# BLASTN 2.13.0+
# Query: 1219137_27_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1219137_27_+	NZ_CP072120.1	92.784	97	7	0	4	100	2937731	2937635	8.43e-35	141
# BLASTN 2.13.0+
# Query: 1233579_35_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1248607_43_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1248607_43_-	NZ_CP072120.1	78.571	98	12	6	1	98	2966867	2966955	3.14e-09	56.5
# BLASTN 2.13.0+
# Query: 1262894_33_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1262894_33_-	NZ_CP072120.1	100.000	51	0	0	1	51	2981866	2981916	6.66e-21	95.3
# BLASTN 2.13.0+
# Query: 1265471_94_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1265471_94_-	NZ_CP072120.1	84.810	79	11	1	8	85	13631	13553	6.70e-16	78.7
# BLASTN 2.13.0+
# Query: 1272604_27_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1272604_27_-	NZ_CP072120.1	81.818	99	14	3	6	100	435039	434941	1.86e-16	80.5
# BLASTN 2.13.0+
# Query: 1289988_49_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1294993_43_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1300317_65_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1313795_45_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1320566_40_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1334297_50_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1349432_36_+
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1354072_42_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1360294_22_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: 1376475_36_-
# Database: B._amyloliquefaciens_NZ_CP072120.1.fasta
