# BLASTN 2.13.0+
# Query: dnaA,dnaN
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
dnaA,dnaN	NZ_CP009679.1	78.261	115	21	4	2	112	3041	3155	1.38e-13	71.3
# BLASTN 2.13.0+
# Query: guaB
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
guaB	NZ_CP009679.1	87.719	114	10	3	2	115	17318	17427	2.32e-31	130
# BLASTN 2.13.0+
# Query: yaaH
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yaaH	NZ_CP009679.1	82.927	82	12	2	43	124	25053	25132	4.04e-14	73.1
# BLASTN 2.13.0+
# Query: metS
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
metS	NZ_CP009679.1	84.091	132	19	2	1	132	48689	48818	3.26e-30	126
# BLASTN 2.13.0+
# Query: yabG
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yabG	NZ_CP009679.1	85.246	61	9	0	59	119	53666	53726	2.39e-11	63.9
# BLASTN 2.13.0+
# Query: veg
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
veg	NZ_CP009679.1	92.500	80	6	0	2	81	54074	54153	6.50e-27	115
# BLASTN 2.13.0+
# Query: sspF
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
sspF	NZ_CP009679.1	80.247	81	12	2	1	77	54427	54507	1.11e-09	58.4
# BLASTN 2.13.0+
# Query: spoVG
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
spoVG	NZ_CP009679.1	81.379	145	20	7	1	142	57231	57371	9.95e-26	111
# BLASTN 2.13.0+
# Query: pabB,pabA,pabC,sul,folB,folK,yazB,yacF,lysS
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
pabB,pabA,pabC,sul,folB,folK,yazB,yacF,lysS	NZ_CP009679.1	96.875	32	1	0	12	43	91151	91182	1.59e-08	54.7
# BLASTN 2.13.0+
# Query: adaA,adaB
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ybcL
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ybdO
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: csgA,ybxH
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: glpT,glpQ
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
glpT,glpQ	NZ_CP009679.1	78.481	79	12	4	9	84	209076	209152	2.38e-06	47.3
# BLASTN 2.13.0+
# Query: ybgE
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycbC,ycbD,ycbE,ycbF,ycbG,ycbH,ycbJ
# Database: B._velezensis_NZ_CP009679.1.fasta
