# BLASTN 2.13.0+
# Query: dnaA,dnaN
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yaaD,yaaE
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yaaD,yaaE	NZ_CP017060.1	85.714	49	4	3	1	47	3226694	3226647	2.87e-07	49.1
# BLASTN 2.13.0+
# Query: metS
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
metS	NZ_CP017060.1	91.667	24	0	2	2	23	43098	43121	0.029	32.5
# BLASTN 2.13.0+
# Query: veg
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
veg	NZ_CP017060.1	95.000	20	1	0	22	41	5357758	5357777	0.022	32.5
# BLASTN 2.13.0+
# Query: spoVG
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
spoVG	NZ_CP017060.1	95.238	21	1	0	42	62	2296121	2296101	0.010	34.4
# BLASTN 2.13.0+
# Query: yabM,yabN,yabO,yabP,yabQ,divIC,yabR
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yabM,yabN,yabO,yabP,yabQ,divIC,yabR	NZ_CP017060.1	82.051	39	4	2	7	44	881357	881321	0.079	30.7
# BLASTN 2.13.0+
# Query: ybaK,cwlD
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: adaA,adaB
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
adaA,adaB	NZ_CP017060.1	79.012	81	16	1	1	80	3046679	3046599	1.12e-08	54.7
# BLASTN 2.13.0+
# Query: ybdO
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybdO	NZ_CP017060.1	90.625	32	1	2	6	36	3055236	3055266	3.78e-05	41.7
# BLASTN 2.13.0+
# Query: glpT,glpQ
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
glpT,glpQ	NZ_CP017060.1	88.462	26	3	0	16	41	2808153	2808178	0.021	32.5
# BLASTN 2.13.0+
# Query: ybgE
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybgE	NZ_CP017060.1	86.667	30	4	0	2	31	4670875	4670904	0.006	34.4
# BLASTN 2.13.0+
# Query: cwlJ
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
cwlJ	NZ_CP017060.1	89.286	28	2	1	8	35	3890831	3890805	0.006	34.4
# BLASTN 2.13.0+
# Query: natA,natB
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
natA,natB	NZ_CP017060.1	89.286	28	2	1	2	29	2595675	2595701	0.005	34.4
# BLASTN 2.13.0+
# Query: ldh,lctP
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: mdr
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: nasB,nasC,nasD,nasE,nasF
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
nasB,nasC,nasD,nasE,nasF	NZ_CP017060.1	100.000	16	0	0	26	41	901335	901350	0.076	30.7
# BLASTN 2.13.0+
# Query: yckE
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yckE	NZ_CP017060.1	100.000	16	0	0	28	43	3881541	3881556	0.082	30.7
# BLASTN 2.13.0+
# Query: ycxA
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ycxA	NZ_CP017060.1	95.238	21	1	0	25	45	3115277	3115297	0.006	34.4
# BLASTN 2.13.0+
# Query: ycxC,ycxB
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ycxC,ycxB	NZ_CP017060.1	91.304	23	2	0	14	36	479167	479145	0.023	32.5
# BLASTN 2.13.0+
# Query: yclE
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycnC,ycnB
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ycnL
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ycnL	NZ_CP017060.1	100.000	17	0	0	22	38	5272368	5272384	0.019	32.5
# BLASTN 2.13.0+
# Query: ycsD
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: mtlR
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: gsiB
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: phoB,ydhF
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ydiO,ydiP
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ydiO,ydiP	NZ_CP017060.1	94.737	19	1	0	24	42	1062808	1062790	0.079	30.7
# BLASTN 2.13.0+
# Query: ydjK
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfnI
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfnB
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfmT,yfmS
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfmM
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfmG
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: citM,yflN
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
citM,yflN	NZ_CP017060.1	94.737	19	1	0	16	34	3127225	3127207	0.066	30.7
# BLASTN 2.13.0+
# Query: treP,treA,treR
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
treP,treA,treR	NZ_CP017060.1	83.784	37	3	3	2	37	4857244	4857210	0.021	32.5
# BLASTN 2.13.0+
# Query: yfkJ,yfkI,yfkH
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfkF
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfjS
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfjS	NZ_CP017060.1	100.000	17	0	0	22	38	4989791	4989775	0.020	32.5
# BLASTN 2.13.0+
# Query: yfjR
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfjR	NZ_CP017060.1	88.889	27	0	3	14	38	662952	662977	0.079	30.7
# BLASTN 2.13.0+
# Query: yfjP,yfjO
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfjP,yfjO	NZ_CP017060.1	95.455	22	1	0	11	32	4885015	4884994	0.003	36.2
# BLASTN 2.13.0+
# Query: acoA,acoB,acoC,acoL
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: malA,yfiA,malP
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfiD,yfiE
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: lipB
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfiW,yfiX
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfiW,yfiX	NZ_CP017060.1	100.000	17	0	0	28	44	2472001	2471985	0.022	32.5
# BLASTN 2.13.0+
# Query: yfhF,yfhE,yfhD
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfhI
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yfhI	NZ_CP017060.1	90.909	22	2	0	1	22	3519091	3519070	0.072	30.7
# BLASTN 2.13.0+
# Query: yfhP
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yfhS
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yhdG
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yhdN,yhdO
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: pbpF
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
pbpF	NZ_CP017060.1	100.000	16	0	0	27	42	1101676	1101661	0.091	30.7
# BLASTN 2.13.0+
# Query: med,comZ
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yjbC,yjbD
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: cotV,cotW,cotX
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
cotV,cotW,cotX	NZ_CP017060.1	82.051	39	6	1	2	40	3249913	3249950	0.020	32.5
# BLASTN 2.13.0+
# Query: yjfB
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: dppA,dppB,dppC,dppD,dppE
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ykzB,ykoL
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: motA,motB
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
motA,motB	NZ_CP017060.1	100.000	16	0	0	31	46	225089	225074	0.088	30.7
# BLASTN 2.13.0+
# Query: ptsG,ptsH,ptsI
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: kinA
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: sipT
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ctaA
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: spoIIGA,sigE,sigG
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
spoIIGA,sigE,sigG	NZ_CP017060.1	82.353	34	6	0	9	42	4091351	4091318	0.091	30.7
# BLASTN 2.13.0+
# Query: cysH,cysP,sat,cysC,ylnD,ylnE,ylnF
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ylqB
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: yneA,yneB,ynzC
# Database: B._cereus_NZ_CP017060.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: alsT
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
alsT	NZ_CP017060.1	100.000	16	0	0	19	34	4740405	4740420	0.082	30.7
# BLASTN 2.13.0+
# Query: gltA,gltB
# Database: B._cereus_NZ_CP017060.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
gltA,gltB	NZ_CP017060.1	100.000	17	0	0	20	36	4677298	4677282	0.019	32.5
# BLASTN 2.13.0+
# Query: yoaN
