# BLASTN 2.13.0+
# Query: 1004944_110_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1004944_110_-	NZ_CP048852.1	98.889	90	1	0	1	90	935889	935978	6.40e-41	161
# BLASTN 2.13.0+
# Query: 1008561_42_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1008561_42_-	NZ_CP048852.1	86.139	101	13	1	1	100	939508	939608	8.46e-25	108
# BLASTN 2.13.0+
# Query: 1035272_45_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1035272_45_-	NZ_CP048852.1	83.908	87	12	2	1	86	967405	967490	5.13e-17	82.4
# BLASTN 2.13.0+
# Query: 1040061_37_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1040061_37_-	NZ_CP048852.1	85.437	103	12	3	1	100	972152	972254	1.09e-23	104
# BLASTN 2.13.0+
# Query: 1055135_36_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1055135_36_-	NZ_CP048852.1	95.000	100	4	1	1	100	987399	987497	2.98e-39	156
# BLASTN 2.13.0+
# Query: 1070325_39_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1070325_39_+	NZ_CP048852.1	89.583	96	9	1	6	100	1002753	1002658	1.09e-28	121
# BLASTN 2.13.0+
# Query: 1074602_44_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1074602_44_+	NZ_CP048852.1	90.000	100	10	0	1	100	1007030	1006931	1.80e-31	130
# BLASTN 2.13.0+
# Query: 2905532_39_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
2905532_39_+	NZ_CP048852.1	99.000	100	0	1	1	100	2722589	2722491	6.36e-46	178
# BLASTN 2.13.0+
# Query: 1083202_27_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1083202_27_+	NZ_CP048852.1	91.000	100	8	1	1	100	1015549	1015451	1.40e-32	134
# BLASTN 2.13.0+
# Query: 1098079_41_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1098079_41_+	NZ_CP048852.1	96.000	100	4	0	1	100	1030430	1030331	1.78e-41	163
# BLASTN 2.13.0+
# Query: 1107559_43_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1107559_43_-	NZ_CP048852.1	86.022	93	11	1	1	91	1039764	1039856	5.09e-22	99.0
# BLASTN 2.13.0+
# Query: 1124994_29_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1124994_29_-	NZ_CP048852.1	87.000	100	13	0	1	100	1057178	1057277	1.82e-26	113
# BLASTN 2.13.0+
# Query: 1153665_44_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1153665_44_-	NZ_CP048852.1	90.361	83	6	2	1	82	1086245	1086326	8.46e-25	108
# BLASTN 2.13.0+
# Query: 1165429_20_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1165429_20_+	NZ_CP048852.1	84.810	79	10	2	1	78	1096731	1096654	6.63e-16	78.7
# BLASTN 2.13.0+
# Query: 1182442_47_-
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1182442_47_-	NZ_CP048852.1	94.444	36	2	0	1	36	1113557	1113592	3.11e-09	56.5
# BLASTN 2.13.0+
# Query: 1204688_43_+
# Database: B._tequilensis_NZ_CP048852.1.fasta
