# BLASTN 2.13.0+
# Query: dnaA,dnaN
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
dnaA,dnaN	NZ_CP009679.1	100.000	18	0	0	18	35	3101	3118	0.004	34.4
# BLASTN 2.13.0+
# Query: rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S	NZ_CP009679.1	82.857	35	4	1	2	34	14765	14799	0.049	30.7
# BLASTN 2.13.0+
# Query: yaaD,yaaE
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yaaD,yaaE	NZ_CP009679.1	94.340	53	2	1	1	52	20757	20809	7.59e-17	80.5
# BLASTN 2.13.0+
# Query: metS
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
metS	NZ_CP009679.1	92.308	52	4	0	1	52	48729	48780	3.53e-15	75.0
# BLASTN 2.13.0+
# Query: veg
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
veg	NZ_CP009679.1	97.561	41	1	0	1	41	54113	54153	3.46e-14	71.3
# BLASTN 2.13.0+
# Query: spoVG
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
spoVG	NZ_CP009679.1	88.525	61	4	3	4	62	57272	57331	5.95e-14	71.3
# BLASTN 2.13.0+
# Query: yabM,yabN,yabO,yabP,yabQ,divIC,yabR
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yabM,yabN,yabO,yabP,yabQ,divIC,yabR	NZ_CP009679.1	82.857	35	6	0	1	35	71079	71113	0.017	32.5
# BLASTN 2.13.0+
# Query: ybaK,cwlD
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybaK,cwlD	NZ_CP009679.1	93.103	29	1	1	1	29	152720	152747	2.39e-05	41.7
# BLASTN 2.13.0+
# Query: adaA,adaB
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
adaA,adaB	NZ_CP009679.1	100.000	17	0	0	58	74	1794039	1794023	0.040	32.5
# BLASTN 2.13.0+
# Query: ybdO
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybdO	NZ_CP009679.1	82.857	35	4	2	3	36	2426442	2426409	0.063	30.7
# BLASTN 2.13.0+
# Query: glpT,glpQ
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ybgE
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybgE	NZ_CP009679.1	94.737	19	1	0	23	41	1031465	1031483	0.056	30.7
# BLASTN 2.13.0+
# Query: cwlJ
# Database: B._velezensis_NZ_CP009679.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: natA,natB
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
natA,natB	NZ_CP009679.1	86.667	30	3	1	5	34	1395535	1395563	0.014	32.5
# BLASTN 2.13.0+
# Query: ldh,lctP
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ldh,lctP	NZ_CP009679.1	87.805	41	2	2	1	38	282536	282576	2.27e-06	45.4
# BLASTN 2.13.0+
# Query: mdr
# Database: B._velezensis_NZ_CP009679.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
