# BLASTN 2.13.0+
# Query: dnaA,dnaN
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
dnaA,dnaN	NZ_CP048852.1	97.222	36	0	1	1	35	2674	2709	6.61e-11	60.2
# BLASTN 2.13.0+
# Query: rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S	NZ_CP048852.1	97.059	34	1	0	3	36	14478	14511	2.27e-10	58.4
# BLASTN 2.13.0+
# Query: yaaD,yaaE
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yaaD,yaaE	NZ_CP048852.1	96.226	53	1	1	1	52	20466	20518	1.63e-18	86.1
# BLASTN 2.13.0+
# Query: metS
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
metS	NZ_CP048852.1	100.000	52	0	0	1	52	47312	47363	7.55e-22	97.1
# BLASTN 2.13.0+
# Query: veg
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
veg	NZ_CP048852.1	100.000	41	0	0	1	41	52899	52939	7.45e-16	76.8
# BLASTN 2.13.0+
# Query: spoVG
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
spoVG	NZ_CP048852.1	95.161	62	3	0	1	62	56053	56114	2.74e-22	99.0
# BLASTN 2.13.0+
# Query: yabM,yabN,yabO,yabP,yabQ,divIC,yabR
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
yabM,yabN,yabO,yabP,yabQ,divIC,yabR	NZ_CP048852.1	95.652	46	0	1	1	44	69917	69962	1.00e-14	73.1
# BLASTN 2.13.0+
# Query: ybaK,cwlD
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybaK,cwlD	NZ_CP048852.1	92.308	39	3	0	1	39	157257	157295	8.54e-10	56.5
# BLASTN 2.13.0+
# Query: adaA,adaB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
adaA,adaB	NZ_CP048852.1	86.585	82	7	4	1	80	201434	201513	8.40e-19	87.9
# BLASTN 2.13.0+
# Query: ybdO
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybdO	NZ_CP048852.1	88.889	36	4	0	1	36	220365	220400	2.27e-06	45.4
# BLASTN 2.13.0+
# Query: glpT,glpQ
# Database: B._tequilensis_NZ_CP048852.1.fasta
# 0 hits found
# BLASTN 2.13.0+
# Query: ybgE
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ybgE	NZ_CP048852.1	97.222	36	1	0	1	36	251819	251854	2.00e-11	62.1
# BLASTN 2.13.0+
# Query: cwlJ
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
cwlJ	NZ_CP048852.1	97.500	40	1	0	1	40	266967	267006	1.15e-13	69.4
# BLASTN 2.13.0+
# Query: natA,natB
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
natA,natB	NZ_CP048852.1	100.000	37	0	0	3	39	282379	282415	1.05e-13	69.4
# BLASTN 2.13.0+
# Query: ldh,lctP
# Database: B._tequilensis_NZ_CP048852.1.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
